package,class,line,full_coverage,partial_coverage,no_coverage
org.mockito.internal.configuration.injection,MockInjectionStrategy,14,213,0,22
org.mockito.internal.configuration.injection,MockInjectionStrategy,20,213,0,22
org.mockito.internal.configuration.injection,MockInjectionStrategy,22,10,0,225
org.mockito.internal.configuration.injection,MockInjectionStrategy,42,213,0,22
org.mockito.internal.configuration.injection,MockInjectionStrategy,44,213,0,22
org.mockito.internal.configuration.injection,MockInjectionStrategy,46,213,0,22
org.mockito.internal.configuration.injection,MockInjectionStrategy,69,9,0,226
org.mockito.internal.configuration.injection,MockInjectionStrategy,71,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,104,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,106,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,108,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,109,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,117,9,0,226
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,118,9,0,226
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,119,9,0,226
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,121,9,0,226
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,122,9,0,226
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,123,9,0,226
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,125,9,0,226
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,126,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,130,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,131,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,133,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,60,213,0,22
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,62,213,0,22
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,67,213,0,22
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,75,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,78,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,79,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,80,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,82,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,83,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,85,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,90,10,0,225
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,91,0,0,235
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,93,0,0,235
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,94,0,0,235
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,96,0,0,235
org.mockito.internal.configuration.injection,PropertyAndSetterInjection,97,0,0,235
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,28,213,0,22
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,32,10,0,225
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,37,0,0,235
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,41,0,0,235
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,43,0,0,235
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,44,0,0,235
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,45,0,0,235
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,46,0,0,235
org.mockito.internal.configuration.injection,SpyOnInjectedFieldsHandler,47,0,0,235
